date,bodyweight,unit
2014-11-08T16:00:00Z,63.90,kg
2015-02-28T10:00:00Z,68.00,kg
2015-03-02T16:00:00Z,68.00,kg
2015-03-03T16:30:00Z,67.30,kg
2015-03-05T17:30:00Z,67.50,kg
2015-03-07T11:00:00Z,68.00,kg
2015-03-09T16:30:00Z,68.60,kg
2015-03-10T17:00:00Z,68.00,kg
2015-03-12T16:30:00Z,67.60,kg
2015-03-14T10:00:00Z,68.00,kg
2015-03-16T16:30:00Z,68.00,kg
2015-03-17T15:30:00Z,67.60,kg
2015-03-19T17:00:00Z,67.50,kg
2015-03-21T10:00:00Z,67.50,kg
2015-03-24T18:00:00Z,67.80,kg
2015-03-26T18:00:00Z,67.80,kg
2015-03-28T10:00:00Z,68.00,kg
2015-03-30T17:30:00Z,68.00,kg
2015-03-31T18:30:00Z,67.60,kg
2015-04-02T19:30:00Z,68.00,kg
2015-04-04T10:30:00Z,67.40,kg
2015-04-06T18:00:00Z,67.70,kg
2015-04-07T18:00:00Z,68.10,kg
2015-04-09T18:30:00Z,68.00,kg
2015-04-11T10:30:00Z,68.40,kg
2015-04-13T18:00:00Z,68.60,kg
2015-04-14T18:00:00Z,68.40,kg
2015-04-16T18:00:00Z,68.10,kg
2015-04-18T10:00:00Z,68.60,kg
2015-04-20T17:30:00Z,68.70,kg
2015-04-21T18:00:00Z,68.70,kg
2015-04-22T17:30:00Z,68.70,kg
2015-04-23T18:00:00Z,68.40,kg
2015-04-24T18:00:00Z,68.40,kg
2015-04-28T18:00:00Z,68.40,kg
2015-04-30T18:00:00Z,67.60,kg
2015-05-02T10:00:00Z,68.40,kg
2015-05-04T18:00:00Z,68.40,kg
2015-05-05T18:00:00Z,68.40,kg
2015-05-07T18:00:00Z,67.50,kg
2015-05-09T10:30:00Z,67.90,kg
2015-05-11T17:30:00Z,68.90,kg
2015-05-12T17:30:00Z,68.50,kg
2015-05-14T17:30:00Z,68.00,kg
2015-05-16T10:30:00Z,68.10,kg
2015-05-19T06:00:00Z,68.10,kg
2015-05-23T09:30:00Z,67.50,kg
2015-05-25T17:30:00Z,67.50,kg
2015-05-26T17:30:00Z,67.50,kg
2015-05-28T18:00:00Z,66.80,kg
2015-05-30T09:30:00Z,66.80,kg
2015-06-01T17:30:00Z,66.80,kg
2015-06-02T17:30:00Z,66.20,kg
2015-06-05T17:30:00Z,66.80,kg
2015-06-06T09:30:00Z,67.20,kg
2015-06-08T17:30:00Z,67.20,kg
2015-06-09T17:30:00Z,67.60,kg
2015-06-11T17:30:00Z,67.20,kg
2015-06-13T10:30:00Z,67.20,kg
2015-06-15T17:30:00Z,68.90,kg
2015-06-16T17:30:00Z,67.90,kg
2015-06-18T18:30:00Z,68.60,kg
2015-06-20T09:00:00Z,68.00,kg
2015-06-22T17:30:00Z,68.00,kg
2015-06-23T17:30:00Z,68.00,kg
2015-06-25T18:30:00Z,68.00,kg
2015-06-27T10:30:00Z,68.40,kg
2015-06-29T18:30:00Z,68.00,kg
2015-06-30T17:30:00Z,67.50,kg
2015-07-02T19:30:00Z,67.20,kg
2015-07-03T23:30:00Z,67.00,kg
2015-07-04T10:30:00Z,67.30,kg
2015-07-06T18:30:00Z,68.00,kg
2015-07-08T12:30:00Z,67.50,kg
2015-07-09T12:00:00Z,68.00,kg
2015-07-11T12:00:00Z,67.40,kg
2015-07-13T12:00:00Z,67.50,kg
2015-07-14T18:30:00Z,67.50,kg
