date,exercise,sets,reps,weight,unit
2014-11-08T16:00:00Z,low bar squats,1,1,112.50,kg
2014-11-08T16:00:00Z,low bar squats,1,1,117.50,kg
2014-11-08T16:00:00Z,low bar squats,1,1,125.00,kg
2014-11-08T16:00:00Z,bench press,1,1,65.00,kg
2014-11-08T16:00:00Z,bench press,1,1,72.50,kg
2014-11-08T16:00:00Z,bench press,1,1,80.00,kg
2014-11-08T16:00:00Z,sumo deadlift,1,1,140.00,kg
2014-11-08T16:00:00Z,sumo deadlift,1,1,145.00,kg
2014-11-08T16:00:00Z,sumo deadlift,1,1,155.00,kg
2015-02-28T10:00:00Z,low bar squats,3,3,225.00,lbs
2015-02-28T10:00:00Z,bench press,5,5,145.00,lbs
2015-02-28T10:00:00Z,conventional deadlift,3,3,275.00,lbs
2015-02-28T10:00:00Z,conventional deadlift,1,10,225.00,lbs
2015-03-02T16:00:00Z,overhead press,5,5,85.00,lbs
2015-03-02T16:00:00Z,behind the neck press,3,6,65.00,lbs
2015-03-02T16:00:00Z,db incline press,3,12,40.00,lbs
2015-03-02T16:00:00Z,pull ups,5,5,68.00,kg
2015-03-02T16:00:00Z,alternating db curls,5,12,25.00,lbs
2015-03-03T16:30:00Z,high bar squats,5,5,215.00,lbs
2015-03-03T16:30:00Z,bench press,5,5,150.00,lbs
2015-03-03T16:30:00Z,stiff leg deadlift,3,8,185.00,lbs
2015-03-03T16:30:00Z,pull ups,6,5,67.30,kg
2015-03-05T17:30:00Z,overhead press,5,5,90.00,lbs
2015-03-05T17:30:00Z,front squats,5,5,155.00,lbs
2015-03-05T17:30:00Z,close grip bench press,5,5,145.00,lbs
2015-03-05T17:30:00Z,bent over rows,5,5,135.00,lbs
2015-03-07T11:00:00Z,low bar squats,3,3,240.00,lbs
2015-03-07T11:00:00Z,bench press,6,4,160.00,lbs
2015-03-07T11:00:00Z,sumo deadlift,1,5,275.00,lbs
2015-03-07T11:00:00Z,sumo deadlift,1,5,295.00,lbs
2015-03-07T11:00:00Z,sumo deadlift,1,5,315.00,lbs
2015-03-09T16:30:00Z,overhead press,5,5,95.00,lbs
2015-03-09T16:30:00Z,behind the neck press,3,8,65.00,lbs
2015-03-09T16:30:00Z,db incline press,3,12,35.00,lbs
2015-03-09T16:30:00Z,pull ups,5,5,68.60,lbs
2015-03-10T17:00:00Z,high bar squats,4,5,215.00,lbs
