date,exercise,sets,reps,weight,unit
2014-11-08T16:00:00Z,sumo deadlift,1,1,140.00,kg
2014-11-08T16:00:00Z,sumo deadlift,1,1,145.00,kg
2014-11-08T16:00:00Z,sumo deadlift,1,1,155.00,kg
2015-02-28T10:00:00Z,conventional deadlift,3,3,275.00,lbs
2015-02-28T10:00:00Z,conventional deadlift,1,10,225.00,lbs
2015-03-03T16:30:00Z,stiff leg deadlift,3,8,185.00,lbs
2015-03-07T11:00:00Z,sumo deadlift,1,5,275.00,lbs
2015-03-07T11:00:00Z,sumo deadlift,1,5,295.00,lbs
2015-03-07T11:00:00Z,sumo deadlift,1,5,315.00,lbs
2015-03-10T17:00:00Z,stiff leg deadlift,3,8,185.00,lbs
2015-03-12T16:30:00Z,deficit conventional deadlift,3,5,225.00,lbs
2015-03-14T10:00:00Z,sumo deadlift,1,5,295.00,lbs
2015-03-14T10:00:00Z,conventional deadlift,4,3,315.00,lbs
2015-03-17T15:30:00Z,stiff leg deadlift,5,8,185.00,lbs
2015-03-21T10:00:00Z,block pulls,3,5,275.00,lbs
2015-03-24T18:00:00Z,stiff leg deadlift,3,5,205.00,lbs
2015-03-28T10:00:00Z,conventional deadlift,2,5,315.00,lbs
2015-03-28T10:00:00Z,block pulls,5,3,275.00,lbs
2015-03-31T18:30:00Z,stiff leg deadlift,3,8,185.00,lbs
2015-04-04T10:30:00Z,conventional deadlift,1,3,330.00,lbs
2015-04-07T18:00:00Z,stiff leg deadlift,5,8,185.00,lbs
2015-04-11T10:30:00Z,conventional deadlift,2,5,315.00,lbs
2015-04-14T18:00:00Z,stiff leg deadlift,3,8,205.00,lbs
2015-04-18T10:00:00Z,conventional deadlift,5,1,275.00,lbs
2015-04-18T10:00:00Z,conventional deadlift,5,1,295.00,lbs
2015-04-21T18:00:00Z,stiff leg deadlift,2,8,195.00,lbs
2015-04-23T18:00:00Z,deficit conventional deadlift,5,1,275.00,lbs
2015-04-30T18:00:00Z,paused conventional deadlift,3,3,225.00,lbs
2015-05-02T10:00:00Z,sumo deadlift,3,5,275.00,lbs
2015-05-02T10:00:00Z,sumo deadlift,3,7,225.00,lbs
2015-05-09T10:30:00Z,sumo deadlift,3,5,245.00,lbs
2015-05-09T10:30:00Z,sumo deadlift,2,3,275.00,lbs
2015-05-16T10:30:00Z,sumo deadlift,3,5,245.00,lbs
2015-05-16T10:30:00Z,sumo deadlift,3,5,225.00,lbs
2015-05-16T10:30:00Z,sumo deadlift,3,3,275.00,lbs
2015-05-23T09:30:00Z,sumo deadlift,4,5,225.00,lbs
2015-05-23T09:30:00Z,sumo deadlift,1,3,275.00,lbs
2015-05-30T09:30:00Z,sumo deadlift,3,5,245.00,lbs
2015-06-06T09:30:00Z,sumo deadlift,3,5,275.00,lbs
